,Week,Online demand,Oil price,Temperature,Oil price momentum (%),Oil price momentum - month (%),Temperature momentum (%),Temperature momentum - month (%),Oil price momentum + capped,Oil price momentum - capped,Temperature momentum + capped,Temperature momentum - capped,Oil price momentum month + capped,Oil price momentum month - capped,Temperature momentum month + capped,Temperature momentum month - capped,Oil price W-4,Oil price W-8,Temperature W-4,Temperature W-8,Online demand mean at same date
30,2014-04-29,64272.0,108.13,12.550000000000011,-1.6463525559396008,1.0337665974377463,-2.105263157894699,34.581772784019726,-0.0,-1.6463525559396008,-0.0,-2.105263157894699,1.0337665974377463,0.0,34.581772784019726,0.0,107.66,111.16,13.250000000000028,6.80000000000004,0.0
31,2014-05-06,65637.74193548386,107.53,13.800000000000011,-0.5548876352538534,1.8517650368008898,3.840245775729656,18.261826182618137,-0.0,-0.5548876352538534,3.840245775729656,0.0,1.8517650368008898,0.0,18.261826182618137,0.0,105.97,107.88,13.950000000000017,8.55000000000004,0.0
32,2014-05-13,67902.58064516129,108.37,12.200000000000017,0.7811773458569649,1.1255068276087243,-4.733727810650867,7.468879668049699,0.7811773458569649,0.0,-0.0,-4.733727810650867,1.1255068276087243,0.0,7.468879668049699,0.0,108.92,106.4,14.150000000000006,11.400000000000006,0.0
33,2014-05-20,70167.41935483871,109.33,18.400000000000006,0.8858540186398312,0.20116072047908773,19.254658385093126,4.304029304029289,0.8858540186398312,0.0,19.254658385093126,0.0,0.20116072047908773,0.0,4.304029304029289,0.0,109.94,106.59,13.25,6.850000000000023,0.0
34,2014-05-27,72432.25806451612,110.35,13.800000000000011,0.9329552730266144,0.6051367331855184,-11.979166666666652,7.9777365491651375,0.9329552730266144,0.0,-0.0,-11.979166666666652,0.6051367331855184,0.0,7.9777365491651375,0.0,108.13,107.66,12.550000000000011,13.250000000000028,0.0
35,2014-06-03,74941.33333333333,108.8,16.80000000000004,-1.4046216583597615,0.5362238792230523,8.875739644970505,13.86046511627914,-0.0,-1.4046216583597615,8.875739644970505,0.0,0.5362238792230523,0.0,13.86046511627914,0.0,107.53,105.97,13.800000000000011,13.950000000000017,0.0
36,2014-06-10,78061.0,109.95,22.950000000000017,1.0569852941176627,1.0277208101942437,16.711956521739047,38.89961389961394,1.0569852941176627,0.0,16.711956521739047,0.0,1.0277208101942437,0.0,38.89961389961394,0.0,108.37,108.92,12.200000000000017,14.150000000000006,0.0
37,2014-06-17,81180.66666666667,112.97,18.75000000000003,2.7467030468394604,2.0098763153036714,-9.778812572758987,26.95346795434599,2.7467030468394604,0.0,-0.0,-9.778812572758987,2.0098763153036714,0.0,26.95346795434599,0.0,109.33,109.94,18.400000000000006,13.25,0.0
38,2014-06-24,84300.33333333333,113.9,20.05000000000001,0.8232274055058886,2.3049726801046777,3.3548387096773657,34.965635738831665,0.8232274055058886,0.0,3.3548387096773657,0.0,2.3049726801046777,0.0,34.965635738831665,0.0,110.35,108.13,13.800000000000011,12.550000000000011,0.0
39,2014-07-01,87420.0,112.5,17.100000000000023,-1.2291483757682187,2.8545267254206363,-7.36579275905116,28.839869281045715,-0.0,-1.2291483757682187,-0.0,-7.36579275905116,2.8545267254206363,0.0,28.839869281045715,0.0,108.8,107.53,16.80000000000004,13.800000000000011,0.0
